Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
IDEAS,"University of California, San Diego (UC San Diego)",ACTIVE,Non-profit,4/15/18,4/14/19,Manufacturing Efficiency,Production of Large-Sized LOCH Parts,,
IDEAS,University of Maryland (UMD),ACTIVE,Non-profit,6/1/18,5/31/19,Resource Efficiency,Electrochemical Compression for Ammoni,,
IDEAS,University of Washington (UW),ACTIVE,Non-profit,9/29/17,3/28/19,Centralized Generation,Stable Magnetized Target Fusion Plasmas,,
IDEAS,Utah State University (USU),ACTIVE,Non-profit,9/15/17,3/14/19,Transportation Network,Feasibility Analysis of Electric Roadways,,
IDEAS,Bigwood Systems,ALUMNI,For-profit,3/18/15,6/30/16,Grid,Global-Optimal Power Flow (G-OPF),Persist,software product?
IDEAS,California Institute of Technology (Caltech),ALUMNI,Non-profit,8/25/17,8/24/18,Transportation Storage,Nanomechanics of Electrodeposited Li,Pivot,research project
IDEAS,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/9/15,9/30/17,Transportation Fuels,Acoustic Wave Enhanced Catalysis,Pivot,
IDEAS,Citrine Informatics,ALUMNI,For-profit,12/22/15,3/21/17,Storage,Machine Learning for Solid Ion Conductors,Pivot,"Have open source options, platform designed for more than just ionic conductors"
IDEAS,Colorado School of Mines,ALUMNI,Non-profit,3/13/17,9/12/18,Resource Efficiency,Thermoelectric Materials Discovery,Pivot,
IDEAS,Colorado School of Mines,ALUMNI,Non-profit,9/27/16,7/31/18,Storage,Ammonia Synthesis Membrane Reactor,Perish,They literally did the opposite thing (decomposition vs synthesis)
IDEAS,Columbia University,ALUMNI,Non-profit,3/4/16,3/3/17,Electrical Efficiency,Computing Through Silicon Photonics,Pivot,"Didn't hit efficiency target, still research project"
IDEAS,Columbia University,ALUMNI,Non-profit,6/10/16,9/9/17,Distributed Generation,Integrated Power Adapter,Perish,"Published some stuff, no further research/patents"
IDEAS,Columbia University,ALUMNI,Non-profit,3/1/15,5/30/16,Transportation Fuels,Co-Generation of Fuels During Copper Bioleaching,Pivot,"some work with bioleaching, but not of copper"
IDEAS,Cornell University,ALUMNI,Non-profit,8/17/16,8/16/17,Transportation Fuels,Secondary Lithium Metal Batteries,Persist,Super broad definition of project
IDEAS,Cree Fayetteville,ALUMNI,For-profit,2/3/17,2/2/18,Distributed Generation,Diamond Capacitors for Power Electronics,Perish,listed as former project on partner (femto) website
IDEAS,Gas Technology Institute (GTI),ALUMNI,For-profit,9/7/16,9/30/17,Transportation Fuels,Methane Soft Oxidation,Perish,Seems hypothetical not first recommended tech
IDEAS,GeneSiC Semiconductor,ALUMNI,For-profit,12/20/16,9/19/18,Distributed Generation,Novel Gallium Nitride Transistors,Perish,"No GaN products, publications"
IDEAS,George Washington University (GWU),ALUMNI,Non-profit,8/2/17,11/16/18,Distributed Generation,Transfer Printed Virtual Substrates,Persist,
IDEAS,Georgia Tech Research Corporation,ALUMNI,Non-profit,7/27/16,12/31/17,Manufacturing Efficiency,Hollow Fibers for Separations,Persist,Licensed by Phillips?
IDEAS,Grid Logic,ALUMNI,For-profit,6/1/15,6/30/16,Electrical Efficiency,Nanostructured Core/Shell Powders for Magnets,Perish,
IDEAS,Harvard University,ALUMNI,Non-profit,6/1/17,11/30/18,Electrical Efficiency,Transistor-less Power Supply Technology,Perish,"can't find any arpa-e credited publications, very researchy, no recent patents"
IDEAS,Hi Fidelity Genetics,ALUMNI,For-profit,5/5/16,11/10/17,Transportation Fuels,Plant Root Phenotyping,Persist,
IDEAS,Inventev,ALUMNI,For-profit,1/6/16,4/5/17,Transportation Vehicles,Transmission-Based Power Generator,Perish,They do consulting now
IDEAS,Iowa State University (ISU),ALUMNI,Non-profit,8/11/16,12/31/17,Transportation Fuels,Catalytic Autothermal Pyrolysis,Pivot,"Research project, still not commercial"
IDEAS,Johns Hopkins University,ALUMNI,Non-profit,10/1/15,3/31/17,Manufacturing Efficiency,Carbon Fiber from Methane,Pivot,"Switching to hydrogen, new OPEN project"
IDEAS,Johns Hopkins University,ALUMNI,Non-profit,2/15/16,12/31/17,Resource Efficiency,Adsorption Compression on Chemical Reactions,Pivot,Not many actual publications (dissertations)
IDEAS,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,9/1/17,8/31/18,Transportation Storage,Metal-Supported SOFC for Vehicles,Pivot,tried a bunch of formulas?
IDEAS,Northeastern University,ALUMNI,Non-profit,9/1/16,12/31/17,Building Efficiency,Materials for Magnetocaloric Applications,Pivot,"Research project, still not commercial"
IDEAS,Northeastern University,ALUMNI,Non-profit,12/6/16,12/5/17,Distributed Generation,Power Converter for Photovoltaic Applications,Pivot,
IDEAS,Oregon State University (OSU),ALUMNI,Non-profit,7/15/14,7/31/16,Distributed Generation,Home Generator Benchmarking Program,Pivot,
IDEAS,Otherlab,ALUMNI,For-profit,3/1/17,3/19/18,Grid,Visualizing Energy Dat,Perish,we paid $500k for this?
IDEAS,Palo Alto Research Center (PARC),ALUMNI,For-Profit,12/17/15,3/31/17,Resource Efficiency,Large-Area Thermoelectric Generators,Pivot,"Still not quite cheap enough, but might be in-use for niche applicatins"
IDEAS,Princeton Optronics,ALUMNI,For-Profit,10/1/14,9/30/15,Transportation Vehicles,Development of a New Type of Laser Ignition System,Perish,"Patented, no licensee"
IDEAS,Princeton University,ALUMNI,Non-profit,10/1/15,3/30/17,Electrical Efficiency,Acoustic Analysis for Battery Testing,Pivot,How did this change for feasible's application
IDEAS,Qromis,ALUMNI,For-Profit,4/1/17,9/30/18,Electrical Efficiency,Reliable and Self-Clamped GaN Switch,Pivot,"seems pretty researchy, not offering products"
IDEAS,Ricardo,ALUMNI,For-Profit,1/1/15,9/30/15,Manufacturing Efficiency,Reducing Automotive CAPEX Entry Barriers,Persist,"Made a model, seem to be using it"
IDEAS,Rice University,ALUMNI,Non-profit,9/15/16,12/14/17,Transportation Fuels,Biological Ammonia Production,Pivot,"not making ammonia, consuming it"
IDEAS,Saint-Gobain Ceramics & Plastics,ALUMNI,For-Profit,1/19/16,4/30/17,Distributed Generation,High Temperature Ceramics for Solar Fuel Production,Perish,can't find any info/newly introduced products
IDEAS,Sandia National Laboratories,ALUMNI,Non-profit,12/21/16,12/20/17,Distributed Generation,High Gain Step-Up Converters,Pivot,Tried a couple of configurations
IDEAS,Sandia National Laboratories,ALUMNI,Non-profit,5/1/17,10/31/18,Electrical Efficiency,Power Conversion with Photoconductive Switches,Pivot,
IDEAS,Signetron,ALUMNI,For-profit,7/6/15,7/5/16,Building Efficiency,Mobile Building Audits,Perish,
IDEAS,Space Orbital Services,ALUMNI,For-profit,8/1/14,12/31/15,Transportation Fuels,Low Temperature Methane Conversion Through Impacting Common Alloy Catalysts,Perish,
IDEAS,Tandem PV,ALUMNI,For-profit,10/31/17,12/15/18,Distributed Generation,Unlock Perovskite Photovoltaics,Pivot,Combining w/ existing Si panels
IDEAS,Tetramer Technologies,ALUMNI,For-profit,3/31/17,6/30/18,Transportation Storage,Enhanced Stability AEM at High Temperatures,Perish,"Can't find any publications, Tetramer only sells PEM stuff"
